transaction_id,device_type,device_info,id_30,id_31,id_33
2987352,mobile,LT22i Build/6.2.A.1.100,,chrome 62.0 for android,
2987355,desktop,MacOS,Mac OS X 10_11_6,safari generic,1440x900
2987361,desktop,MacOS,Mac OS X 10_11_6,safari generic,1440x900
2987366,mobile,iOS Device,iOS 11.0.3,mobile safari 11.0,2048x1536
2987367,desktop,rv:52.0,Windows 10,firefox,1440x900
2987368,mobile,,,mobile safari 11.0,
2987374,desktop,MacOS,Mac OS X 10_11_6,safari generic,1440x900
2987376,desktop,MacOS,Mac OS X 10_13_1,safari generic,1366x768
2987380,mobile,,,mobile safari 11.0,
2987384,desktop,,,chrome 62.0,
2987386,mobile,SM-G950U Build/NRD90M,,chrome 60.0 for android,
2987387,mobile,LG-H872 Build/NRD90U,Android 7.0,chrome 62.0 for android,2672x1440
2987389,desktop,MacOS,Mac,safari generic,1440x900
2987390,desktop,MacOS,Mac OS X 10_9_5,safari generic,1280x800
2987398,mobile,LG-K500 Build/MMB29M,,chrome 62.0 for android,
2987404,mobile,iOS Device,iOS 10.3.3,mobile safari 10.0,2208x1242
2987405,mobile,,,mobile safari 11.0,
2987406,mobile,iOS Device,iOS 10.3.3,mobile safari 10.0,2208x1242
2987408,mobile,iOS Device,iOS 10.3.3,mobile safari 10.0,2208x1242
2987412,desktop,Windows,,chrome 62.0,
2987416,mobile,iOS Device,iOS 10.3.3,mobile safari 10.0,2048x1536
2987425,mobile,iOS Device,iOS 11.0.3,mobile safari 11.0,2048x1536
2987429,desktop,Windows,,chrome 62.0,
2987433,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2048x1536
2987434,mobile,iOS Device,iOS 10.3.3,mobile safari 10.0,2048x1536
2987435,desktop,Windows,Windows 10,edge 14.0,
2987437,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2048x1536
2987438,mobile,,,mobile safari generic,
2987439,mobile,SM-P550 Build/MMB29M,,chrome 62.0 for android,
2987443,mobile,,,mobile safari 11.0,
2987446,desktop,Windows,Windows 10,edge 15.0,1920x1080
2987449,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
2987455,desktop,Windows,Windows 10,edge 14.0,1280x1024
2987456,mobile,SM-J700M Build/MMB29K,,chrome 61.0 for android,
2987457,desktop,Trident/7.0,Windows 7,ie 11.0 for desktop,1920x1080
2987461,desktop,rv:57.0,Mac OS X 10.12,firefox 57.0,1440x900
2987462,desktop,Windows,Windows 10,edge 14.0,1280x1024
2987463,mobile,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2220x1080
2987465,mobile,,,mobile safari 11.0,
2987466,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
2987467,mobile,SAMSUNG SM-G930T Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080
2987469,mobile,iOS Device,iOS 11.1.2,chrome 62.0 for ios,2048x1536
2987476,desktop,Windows,,chrome 62.0,
2987482,desktop,Windows,Windows 10,chrome 62.0,1920x1080
2987485,desktop,MacOS,Mac OS X 10_10_5,safari generic,1280x800
2987488,desktop,Windows,,chrome 62.0,
2987489,mobile,Blade V6 Plus Build/MRA58K,,chrome 62.0 for android,
2987490,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242
2987499,desktop,Windows,,chrome 62.0,
2987501,desktop,,,chrome 62.0,
2987504,desktop,Windows,Windows 10,chrome 62.0,1366x768
2987505,desktop,MacOS,Mac OS X 10_10_5,safari generic,1280x800
2987508,desktop,Windows,Windows 10,edge 14.0,1280x1024
2987514,desktop,MacOS,Mac OS X 10_11_5,safari generic,1280x800
2987515,desktop,Trident/7.0,Windows 10,ie 11.0 for tablet,1366x768
2987517,mobile,BLL-L23 Build/HUAWEIBLL-L23,,chrome 62.0 for android,
2987520,mobile,iOS Device,iOS 9.3.5,mobile safari 9.0,2048x1536
2987521,mobile,KYOCERA-C6742A Build/LMY47V,Android 5.1.1,chrome generic,960x540
2987523,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
2987524,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
2987528,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2048x1536
2987529,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
2987531,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
2987532,desktop,MacOS,Mac OS X 10_10_5,safari generic,1440x900
2987535,desktop,Windows,,chrome 62.0,
2987543,desktop,Windows,Windows 10,firefox 57.0,1366x768
2987544,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2732x2048
2987547,desktop,,,chrome 62.0,
2987550,mobile,,,mobile safari 11.0,
2987551,mobile,F3113 Build/33.2.A.4.70,,chrome 62.0 for android,
2987552,desktop,Trident/7.0,Windows 7,ie 11.0 for desktop,1600x900
2987553,mobile,,,mobile safari 10.0,
2987555,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242
2987556,desktop,Windows,,chrome 62.0,
2987558,mobile,iOS Device,iOS 11.1.2,mobile safari generic,2436x1125
2987560,desktop,Windows,,chrome 62.0,
2987563,desktop,Windows,Windows 10,chrome 62.0,1920x1080
2987571,desktop,Windows,,chrome 62.0,
2987576,mobile,iOS Device,iOS 11.1.2,mobile safari generic,1334x750
2987577,desktop,Windows,,chrome 62.0,
2987579,mobile,D5306 Build/19.4.A.0.182,,chrome 62.0 for android,
2987582,desktop,Windows,Windows 7,chrome 62.0,1920x1080
2987584,desktop,Windows,,chrome 62.0,
2987585,desktop,Windows,Windows 10,edge 15.0,1366x768
2987590,desktop,Windows,Windows 10,chrome 62.0,1920x1200
2987592,desktop,Windows,,chrome 62.0,
2987596,desktop,Windows,,chrome 62.0,
2987598,desktop,Trident/7.0,,ie 11.0 for desktop,
2987601,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2048x1536
2987602,desktop,Windows,Windows 7,chrome 62.0,1920x1080
2987603,desktop,Windows,Windows 7,chrome 62.0,1920x1080
2987605,desktop,Windows,Windows 10,chrome 62.0,1920x1080
2987607,desktop,Windows,,chrome 62.0,
2987608,mobile,KYOCERA-C6742A Build/LMY47V,Android 5.1.1,chrome generic,960x540
2987610,mobile,iOS Device,iOS 10.3.3,mobile safari 10.0,2048x1536
2987612,desktop,Windows,,chrome 62.0,
2987613,desktop,,,chrome 61.0,
2987617,mobile,M4 SS4457 Build/MRA58K,,chrome 62.0 for android,
2987618,desktop,Windows,,chrome 62.0,
2987620,mobile,SM-G955U Build/NRD90M,Android 7.0,chrome 62.0 for android,
2987621,desktop,MacOS,Mac OS X 10_11_6,safari generic,1440x900
2987623,desktop,Windows,,chrome 62.0,
2987625,mobile,SM-G610M Build/MMB29K,,other,
2987630,desktop,Windows,,firefox 57.0,
2987633,,,,,
2987635,desktop,Windows,Windows 7,chrome 62.0,
2987637,desktop,Windows,,chrome 62.0,
2987638,mobile,,,mobile safari 11.0,
2987639,desktop,,,chrome 62.0,
2987641,mobile,SAMSUNG SM-G935F Build/NRD90M,,samsung browser 6.2,
2987643,desktop,Windows,Windows 7,chrome 62.0,1920x1080
2987648,desktop,Windows,Windows 10,edge 15.0,
2987653,desktop,Windows,,chrome 61.0,
2987660,desktop,,,firefox 57.0,
2987664,desktop,Trident/7.0,,ie 11.0 for desktop,
2987666,mobile,,,mobile safari 11.0,
2987668,desktop,,,firefox 57.0,
2987672,desktop,Trident/7.0,,ie 11.0 for desktop,
2987681,desktop,,,firefox 57.0,
2987683,desktop,Windows,,firefox 57.0,
2987686,desktop,,,chrome 62.0,
2987689,desktop,Windows,Windows 10,chrome 62.0,1366x768
2987692,desktop,,,chrome 62.0,
2987693,desktop,,,firefox 57.0,
2987694,desktop,MacOS,Mac OS X 10_13_1,chrome 62.0,2560x1600
2987696,mobile,SM-G610M Build/MMB29K,,chrome 59.0 for android,
2987698,desktop,MacOS,Mac OS X 10_13_1,chrome 62.0,2560x1600
2987710,desktop,,,firefox 57.0,
2987712,desktop,Windows,Windows 10,chrome 62.0,1366x768
2987718,mobile,XT1635-01,Android 7.1.1,chrome 62.0 for android,1920x1080
2987724,desktop,Windows,Windows 7,chrome 62.0,1920x1080
2987726,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
2987730,desktop,Windows,,chrome 62.0,
2987732,desktop,MacOS,Mac OS X 10_13_1,safari generic,2048x1152
2987733,desktop,Windows,Windows 10,edge 15.0,
2987739,desktop,rv:56.0,,firefox 56.0,
2987741,mobile,SM-G950U Build/NRD90M,Android 7.0,chrome 62.0 for android,2960x1440
2987743,desktop,Windows,Windows 7,chrome 62.0,1366x768
2987746,desktop,,,chrome 62.0,
2987747,desktop,,,firefox 57.0,
2987748,desktop,MacOS,Mac OS X 10_10_5,safari generic,2560x1600
2987750,desktop,,,safari generic,
2987751,desktop,Windows,Windows 7,chrome 62.0,1920x1080
2987752,desktop,Windows,,chrome 62.0,
2987754,mobile,VS500,Android 7.0,android webview 4.0,1280x720
2987758,mobile,CAM-L03 Build/HUAWEICAM-L03,,chrome 62.0 for android,
2987763,mobile,RCT6303W87M7 Build/MRA58K,Android 6.0,chrome 62.0 for android,1280x800
2987766,mobile,M4 SS4451 Build/LMY47D,,chrome,
2987768,desktop,,,chrome 62.0,
2987769,desktop,Windows,,chrome 62.0,
2987771,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1136x640
2987774,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242
2987777,desktop,Windows,,chrome 62.0,
2987779,mobile,KFFOWI Build/LVY48F,Android 5.1.1,chrome generic,1024x600
2987780,mobile,KFFOWI Build/LVY48F,Android 5.1.1,chrome generic,1024x600
2987781,mobile,KFFOWI Build/LVY48F,Android 5.1.1,chrome generic,1024x600
2987785,mobile,iOS Device,iOS 10.3.1,mobile safari 10.0,2732x2048
2987788,mobile,iOS Device,iOS 10.3.1,mobile safari 10.0,2732x2048
2987789,mobile,,,mobile safari generic,
2987790,desktop,rv:56.0,Mac OS X 10.9,firefox 56.0,1440x900
2987791,desktop,,,firefox 57.0,
2987792,mobile,Moto E (4) Build/NMA26.42-19,,chrome generic,
2987795,mobile,SAMSUNG,,samsung browser 6.2,
2987796,mobile,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080
2987800,mobile,E2306 Build/26.3.A.1.33,,chrome 62.0 for android,
2987804,desktop,,,chrome 62.0,
2987815,desktop,Windows,,chrome 62.0,
2987819,mobile,,,mobile safari 9.0,
2987820,desktop,Windows,,chrome 55.0,
2987821,desktop,MacOS,Mac OS X 10_11_6,safari generic,2880x1800
2987825,mobile,Ilium L910 Build/MRA58K,,chrome 62.0 for android,
2987828,desktop,Windows,,chrome 62.0,
2987829,desktop,Windows,Windows 7,chrome 61.0,1920x1080
2987831,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2732x2048
2987834,desktop,Windows,Windows 10,chrome 62.0,1366x768
2987837,mobile,SM-J700M Build/MMB29K,,chrome 62.0 for android,
2987838,desktop,Windows,,chrome 62.0,
2987839,desktop,Windows,,chrome 55.0,
2987844,desktop,Windows,,chrome 62.0,
2987847,desktop,MacOS,Mac OS X 10_12_6,chrome 62.0,2880x1800
2987848,mobile,GT-I9300,,chrome 62.0 for android,
2987849,desktop,Windows,,chrome 62.0,
2987850,desktop,Windows,Windows 10,edge 15.0,1920x1080
2987853,desktop,Windows,,chrome 55.0,
2987854,desktop,Windows,,chrome 62.0,
2987855,mobile,iOS Device,iOS 11.1.2,mobile safari generic,2001x1125
2987857,mobile,LG-H420 Build/LRX21Y,,other,
2987862,desktop,Windows,Windows 8.1,firefox 57.0,1024x768
2987868,desktop,,,opera 49.0,
2987869,desktop,Windows NT 6.2,,ie,
2987872,mobile,XT1032 Build/LPBS23.13-56-2,,chrome 55.0 for android,
2987873,desktop,Windows,Windows 10,chrome 62.0,1366x768
2987885,mobile,GT-I9060M Build/KTU84P,,chrome 62.0 for android,
2987886,mobile,,,mobile safari 10.0,
2987887,mobile,,,mobile safari 11.0,
2987893,desktop,,,chrome 62.0,
2987895,desktop,Trident/7.0,,ie 11.0 for desktop,
2987900,desktop,Trident/7.0,,ie 11.0 for desktop,
2987901,mobile,,,mobile safari 11.0,
2987907,mobile,iOS Device,iOS 11.1.2,chrome 62.0 for ios,2048x1536
2987912,,,,,
2987917,,,,,
2987926,desktop,,,chrome 62.0,
2987928,desktop,Trident/7.0,,ie 11.0 for desktop,
2987929,desktop,Windows,,chrome 62.0,
2987938,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242
2987951,desktop,Windows,,edge 15.0,
2987957,desktop,rv:38.0,,firefox,
2987964,mobile,Moto G (4) Build/NPJS25.93-14-10,,chrome generic,
2987965,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242
2987968,mobile,,,mobile safari 11.0,
2987969,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2732x2048
2987972,,,,,
2987989,desktop,Windows,,firefox 57.0,
2988008,desktop,Windows,,chrome 62.0,
2988015,mobile,iOS Device,iOS 11.0.3,mobile safari 11.0,1136x640
2988018,mobile,iOS Device,iOS 10.3.3,mobile safari 10.0,1136x640
2988021,mobile,iOS Device,iOS 10.3.3,mobile safari 10.0,1136x640
2988028,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988033,desktop,Windows,,chrome 62.0,
2988038,desktop,Windows,Windows 7,chrome 62.0,1280x1024
2988062,mobile,Blade V6 Plus Build/MRA58K,,chrome 62.0 for android,
2988064,mobile,Blade V6 Plus Build/MRA58K,,chrome 62.0 for android,
2988080,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988083,mobile,SM-J700M Build/MMB29K,,chrome 61.0 for android,
2988093,mobile,SM-G530T,Android 5.1.1,chrome 62.0 for android,960x540
2988140,mobile,LGMP260 Build/NRD90U,Android 7.0,chrome 61.0 for android,1280x720
2988166,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
2988170,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
2988171,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988177,desktop,Windows,,firefox 57.0,
2988182,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988192,mobile,SM-E500M Build/KTU84P,,chrome 62.0 for android,
2988204,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2436x1125
2988209,desktop,Windows,Windows 10,chrome 62.0,1920x1080
2988211,desktop,Windows,Windows 10,chrome 62.0,1920x1080
2988221,desktop,Windows,Windows 10,chrome 62.0,1920x1080
2988227,desktop,Trident/7.0,,ie 11.0 for desktop,
2988246,mobile,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080
2988257,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988267,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988304,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988308,desktop,,,chrome 61.0,
2988311,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988312,desktop,Trident/7.0,Windows 7,ie 11.0 for desktop,1280x1024
2988325,,,,,
2988339,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988340,mobile,iOS Device,iOS 11.1.1,mobile safari 11.0,2208x1242
2988342,mobile,iOS Device,iOS 11.1.1,mobile safari 11.0,2208x1242
2988356,desktop,Windows,Windows 10,chrome 62.0,
2988368,desktop,rv:11.0,Windows 7,ie 11.0 for desktop,1600x900
2988370,desktop,MacOS,Mac OS X 10_12_6,chrome 61.0,1440x900
2988378,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988380,desktop,Windows,Windows 10,edge 15.0,
2988389,desktop,Windows,Windows 7,chrome 62.0,1920x1200
2988393,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988396,mobile,iOS Device,iOS 11.1.1,mobile safari 11.0,1334x750
2988409,mobile,,Android,chrome 61.0,855x480
2988431,desktop,Windows,Windows 10,chrome 62.0,1920x1080
2988448,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
2988449,desktop,Trident/7.0,Windows 7,ie 11.0 for desktop,
2988451,desktop,Windows,Windows 7,chrome 62.0,1600x900
2988469,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988475,desktop,MacOS,Mac OS X 10_10_5,chrome 62.0,1920x1080
2988484,desktop,rv:57.0,Mac OS X 10.9,firefox 57.0,1440x900
2988495,desktop,Windows,Windows 10,edge 15.0,1920x1080
2988512,desktop,MacOS,Mac OS X 10_12_6,safari generic,2560x1600
2988513,desktop,Windows,Windows 7,chrome 62.0,1920x1080
2988535,desktop,MacOS,Mac OS X 10_12_6,chrome 62.0,1920x1080
2988549,mobile,SM-G920I Build/NRD90M,,chrome 62.0 for android,
2988565,desktop,Windows,Windows Vista,chrome 49.0,1366x768
2988567,desktop,Windows,Windows 8.1,chrome 62.0,1600x900
2988568,desktop,Windows,Windows 10,chrome 62.0,1920x1080
2988610,desktop,MacOS,Mac OS X 10_13_1,safari generic,4096x2304
2988621,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242
2988622,desktop,Trident/7.0,Windows 7,ie 11.0 for desktop,1366x768
2988623,desktop,Windows,,chrome 62.0,
2988655,desktop,Windows,,chrome 62.0,
2988663,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988667,desktop,Windows,Windows 7,chrome 62.0,1024x768
2988672,desktop,Windows,Windows 7,chrome 62.0,1024x768
2988678,desktop,Windows,Windows 7,chrome 62.0,1024x768
2988686,mobile,,,mobile safari 11.0,
2988688,desktop,Trident/7.0,Windows 10,ie 11.0 for desktop,
2988690,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1136x640
2988696,mobile,iOS Device,iOS 11.1.1,mobile safari 11.0,2048x1536
2988698,desktop,rv:11.0,,ie 11.0 for desktop,
2988701,desktop,Windows,Windows 10,chrome 62.0,1920x1080
2988702,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242
2988705,desktop,Windows,Windows Vista,chrome 49.0,1280x800
2988706,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242
2988710,desktop,rv:11.0,,ie 11.0 for desktop,
2988713,mobile,iOS Device,iOS 11.0.3,mobile safari 11.0,1334x750
2988714,desktop,Trident/7.0,Windows 7,ie 11.0 for desktop,1440x900
2988717,mobile,iOS Device,iOS 11.1.2,mobile safari generic,1334x750
2988719,mobile,iOS Device,iOS 10.3.2,mobile safari 10.0,2208x1242
2988722,,,,,
2988737,desktop,Trident/7.0,,ie 11.0 for desktop,
2988740,desktop,Windows,Windows 10,chrome 62.0,1600x900
2988745,desktop,Windows,Windows 10,edge 15.0,
2988746,desktop,Windows,Windows 7,chrome 62.0,1024x768
2988749,desktop,Windows,,chrome 62.0,
2988752,desktop,Windows,Windows 10,chrome 62.0,1600x900
2988754,mobile,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080
2988755,desktop,Windows,Windows 7,chrome 62.0,1024x768
2988760,mobile,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080
2988763,mobile,,,mobile safari 11.0,
2988768,desktop,Windows,Windows 10,chrome 62.0,
2988769,desktop,Windows,Windows 10,edge 14.0,1366x768
2988778,desktop,Windows,Windows 7,chrome 62.0,1024x768
2988783,desktop,Windows,Windows 7,chrome 62.0,1440x900
2988800,desktop,MacOS,Mac OS X 10_11_6,chrome 62.0,1920x1080
2988804,desktop,Trident/7.0,Windows 7,ie 11.0 for desktop,1600x900
2988812,desktop,Windows,Windows 10,chrome 62.0,1280x1024
2988813,desktop,Windows,Windows 7,chrome 62.0,1600x900
2988823,desktop,Windows,Windows 7,chrome 62.0,1920x1200
2988824,desktop,Windows,Windows Vista,ie,1366x768
2988832,desktop,Windows,Windows 7,ie 11.0 for desktop,1920x1080
2988844,desktop,rv:11.0,,ie 11.0 for desktop,
2988855,desktop,Windows,Windows 7,firefox 57.0,1440x900
2988863,desktop,MacOS,Mac OS X 10_12_6,chrome 62.0,1920x1080
2988869,mobile,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080
2988875,mobile,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080
2988880,mobile,iOS Device,iOS 10.3.1,mobile safari 10.0,2001x1125
2988886,desktop,,,chrome 49.0,
2988889,desktop,MacOS,Mac OS X 10_13_1,safari generic,2560x1440
2988893,desktop,Windows,Windows 8.1,chrome 62.0,1600x900
2988894,mobile,iOS Device,iOS 10.3.1,mobile safari 10.0,2001x1125
2988902,desktop,Windows,Windows 10,edge 16.0,
2988905,desktop,Windows,Windows 7,chrome 62.0,1280x800
2988922,desktop,MacOS,Mac OS X 10_11_6,chrome 61.0,2560x1600
2988930,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988933,desktop,Windows,Windows 10,chrome 62.0,1920x1080
2988935,desktop,Windows,Windows 7,chrome 62.0,1366x768
2988938,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988940,desktop,Windows,Windows 10,chrome 62.0,1366x768
2988950,desktop,Trident/7.0,,ie 11.0 for desktop,
2988953,desktop,,,chrome 62.0,
2988965,desktop,Windows,,chrome 62.0,
2988967,mobile,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750
2988983,desktop,,,chrome 62.0,
2988991,desktop,,,chrome 62.0,
2988994,desktop,rv:11.0,,ie 11.0 for desktop,
2988997,mobile,iOS Device,iOS 11.0.2,mobile safari 11.0,2732x2048
2989000,desktop,,,chrome 62.0,
2989002,desktop,Windows,,edge 14.0,
2989003,desktop,Windows,Windows 10,edge 15.0,
2989027,desktop,,,chrome 62.0,
2989029,desktop,Windows,Windows 7,chrome 62.0,1440x900
2989039,desktop,,,firefox 57.0,
2989055,mobile,,,mobile safari 11.0,
2989066,desktop,Windows,Windows 7,chrome 62.0,1680x1050
2989067,desktop,Trident/7.0,Windows 10,ie 11.0 for desktop,1920x1080
2989070,desktop,Windows,Windows 10,edge 15.0,1600x900
2989091,desktop,rv:57.0,Mac OS X 10.11,firefox 57.0,1920x1080
2989095,desktop,Windows,Windows 10,chrome 62.0,1920x1080
2989097,desktop,Windows,Windows 10,firefox 57.0,1920x1080
2989098,desktop,Windows,Windows 10,firefox 57.0,1600x900
2989102,desktop,Windows,Windows 7,chrome 62.0,1024x768
2989106,desktop,Trident/7.0,Windows 7,ie 11.0 for desktop,1920x1080
2989109,mobile,,,mobile safari 11.0,
2989116,mobile,SAMSUNG SM-J327T Build/NRD90M,Android 7.0,samsung browser 6.2,1280x720
2989124,desktop,Windows,,chrome 62.0,
